candidate_key,existing_project_id,project_name_candidate,mention_count,first_report_date,latest_report_date,map_urls,land_area_mentions,price_mentions,sample_excerpt
không đạt hiệu quả tài,,không đạt hiệu quả tài,1,2022-12-14,2022-12-14,,,"11,5tr/m2; 750 tỷ; 100 tỷ; 1.037 tỷ; 194 tỷ","Thao L - INVT 12/14/2022 11:08 AM Giá bán đề xuất: - Giá bán đất hiện tại (2022) dựa vào thị trường xung quanh dự án: trung bình 11,5tr/m2, tỷ lệ tăng giá mỗi năm 10%. - Giá bán năm 2025-2026: Loại hình Diện tích đất (m2) Diên tích sàn (m2) Đơn giá bán đất (tr/m2) có VAT Đơn gián bán sàn (tr/m2) có VAT Đất nhà phố liền kề 47.412,3 - 14,6 - Đất ở shophouse 6.912,0 - 17,5 - Đất ở shophouse (bán nhà) 2.160,0 5.184,0 17,5 7,8 Đất ở biệt thự song lập 5.008,0 - 12,4 - Đất TMDV 7.628,0 12.204,8 8,0 7,1 Đất công trình công cộng 2.508,9 3.261,6 6,6 7,1 Thông số: - Tổng mức đầu tư là 750 tỷ đồng (chưa VAT) bao gồm tiền CMĐSDĐ tạm tính 100 tỷ đồng. - Tổng doanh thu là 1.037 tỷ đồng (chưa VAT). - Tổng lợi nhuận trước thuế là 194 tỷ đồng. Kết luận: - Dự án không đạt hiệu quả tài ... by Thao L - INVT"
chi phí đất,,(Chi phí đất,1,2022-12-15,2022-12-15,https://goo.gl/maps/1eXNtJWdQZHPkvXp8,"75ha; 1.100ha; 53,6ha; 150ha","6000 tỷ; 127,2 tỷ; 180 tỷ; 247 tỷ","Thao L - INVT 12/15/2022 12:04 PM Edited K.ĐT gửi anh Tuan Tran-CEO báo cáo về Cụm công nghiệp Giao Yến, quy mô 75ha tại xã Giao Yến, huyện Giao Thủy, tỉnh Nam Định như sau: 1. Hiện trạng và hạ tầng: - Hiện trạng: Đất nông nghiệp, trống và chưa có đường lớn kết nối vào khu đất. - Hạ tầng trương lai: Giáp với Đường bộ Ven biển, sẽ kết nối thẳng với QL37B (hiện hữu) và kết nối thẳng Đường Nam Định - Lạc Quần đang triển khai xây dựng và dự kiến hoàn thành năm 2027 với tổng chiều dài 24,7km, TMĐT: 6000 tỷ và mặt cắt tại đoạn lớn nhất 100m. Đường Nam Định - Lạc Quần sẽ trực tiếp kết nối Cao Tốc Ninh Bình – Hải Phòng – Quảng Ninh. => Tạo hệ thống hạ tầng kết nối thuận tiện đến các tỉnh lân cận và các cảng biển lớn. - Tiềm năng: Gần KCN VSIP có quy mô lớn nhất tỉnh Nam Định (1.100ha), khi KCN VSIP được triển khai sẽ tạo sực bật lớn với thị trường CCN - KCN xung quanh nói riêng và tỉnh Nam Định nói chung. 2. Phương án đầu tư: - Loại hình phát triển: Cho thuê thu tiền một lần đất, hạ tầng CCN: "
trong thời gian khai thác kinh doanh,,trong thời gian khai thác kinh doanh,1,2022-12-27,2022-12-27,,2584m2; 1704m2; 884m2,,"Trieu Nguyen-PTDT 12/27/2022 3:31 PM KĐT gửi anh Tuan Tran-CEO báo cáo dự phòng P&L 5 năm từ 2023 - 2027 cho Khách sạn Regalia Gold 4 sao tại Nha Trang, cụ thể: 1/ Vị trí và hiện trạng: Khách sạn nằm tại đường Nguyễn Thị Minh Khai, P. Tân Lập, Nha Trang, cách bãi biển khoảng 400m Công trình khách sạn 4 sao cao 40 tầng, có 850 phòng 2/ Pháp lý đất: Thông tin được cung cấp: công trình xây dựng trên khu đất có quy mô 2584m2, trong đó 1704m2 đất ODT có thời hạn sử dụng lâu dài và 884m2 đất thuê trả tiền hàng năm nằm trong khu vực quy hoạch giao thông. 3/ Thông tin thị trường: Các khách sạn 4 sao nằm cùng vị trí (không ven biển) có giá thuê dao động từ $40 - 54/đêm/phòng, có quy mô từ 100 - 300 phòng Theo thống kê, tỷ lệ khách du lịch nội địa năm 2022 tăng 18% so với năm 2019 là 1 phần kết quả sau 2 năm 2020 và 2021 người dân không được di du lịch. Tuy nhiên, lượng khách du lịch quốc tế không đạt như kỳ vòng, chỉ được 3.5 triệu du khách so với mục tiêu đề ra là 5 triệu du khách, thấp hơn nh"
nhà ở khi chuyển mục đích sang đất ở,,nhà ở khi chuyển mục đích sang đất ở,1,2023-03-15,2023-03-15,,5.000 m2,,"Huy M - IM 3/15/2023 10:20 AM KĐT báo cáo CEO Tuan Tran-CEO đánh giá nhanh 12 lô đất anh Duy gửi của Sun Group tại Khu Đô thị ven sông Hoà Xuân - Cẩm Lệ - Đà Nẵng với mục đích làm Khu Chung cư cao tầng. Về Pháp lý đất: Theo GCNQSDĐ được cung cấp (2 lô đại diện): + Diện tích: ~ 5.000 m2 + Mục đích sử dụng: Đất cơ sở sản xuất kinh doanh + Thời hạn: Lâu dài + Nguồn gốc đất: Nhà nước giao đất có thu tiền sử dụng đất. + Cấp ngày 15/06/2011 Với mục đích sử dụng đất vẫn còn là đất SKC chưa chuyển mục đích sang đất ở, trong trường hợp thực hiện dự án nhà ở khi chuyển mục đích sang đất ở theo Luật Đất đai sẽ phải thực hiện đấu giá đối với hiện trạng các khu đất này Về pháp lý quy hoạch: + Theo thông tin QH đối tác cung cấp tại văn bản số 3175 ngày 03/05/2019 của SXD Đà Nẵng, các khu đất trên phần lớn có hệ số sử dụng đất từ 14 đến 18 lần, Theo QC 01/2021 hiện nay thì hệ số sử dụng đất tối đa là 13 lần. Các khu đất này không thuộc trường là các công trình điểm nhấn tại Đà Nẵng để được áp dụng đi"
văn phòng tại khu đất 197 lê văn sỹ,,Văn phòng tại khu đất 197 Lê Văn Sỹ,1,2023-04-11,2023-04-11,,"985,7m2; 120,07m2; 865,63m2; 695,8m2",340 tỷ,"Thao L - INVT 4/11/2023 10:34 AM K.ĐT báo cáo anh Tuan Tran-CEO dự án Văn phòng tại khu đất 197 Lê Văn Sỹ, phường 13, quận 3. Khu đất Nằm trên đường Lê Văn Sỹ và hẻm 195 Lê Văn Sỹ, cách cầu Lê Văn Sỹ khoảng 50m có tổng diện tích 985,7m2 với giá chào bán là 340 tỷ như sau: 1.Pháp lý đất: GCNQSDĐ các thửa đất với tổng diện tích là 985,7m2. Mục đích sử dụng: Đất ở lâu dài. Bản đồ hiện trạng vị trí khu đất, trong đó xác định phần lộ giới khoảng 120,07m2, phần đất phù hợp quy hoạch khoảng 865,63m2. 2.Pháp lý đầu tư: chưa có 3.Pháp lý quy hoạch: Theo văn bản 3004/SQHKT-QHKVI của Sở quy hoạch – kiến trúc cấp ngày 27/08/2020 Về việc cung cấp thông tin quy hoạch đô thị tại địa điểm số 197 Lê Văn Sỹ, phường 13, quận 3 (một phần khu đất – thửa 25, tờ 14 – 695,8m2). Mục đích xây dựng: Văn phòng; MĐXD: 55%, HSSDĐ: 8 lần. 4.Pháp lý xây dựng: chưa có. 5. Đề xuất pháp lý: Mục tiêu: Xây dựng, vận hành Văn phòng mà vẫn giữ được mục đích Đất ở lâu dài. Cách thức để giữ lại mục đích Đất ở lâu dài: - Đại d"
dkc arita twin tower 1,,DKC ARITA TWIN TOWER 1,1,2023-04-13,2023-04-13,https://goo.gl/maps/h4LQbK4dijinbrmF8,"1,1ha; 233,6m²; 722,9m²; 478,3m²; 1.978m²; 266,6m²; 510,7m²; 758,3m²; 752,4m²; 236,6m²; 112.7m²","150 tỷ; 11,5 tỷ; 312,8 tỷ","Sinh Nguyen-Dau Tu 4/13/2023 11:20 AM K.ĐT báo cáo anh Tuan Tran-CEO dự án DKC ARITA TWIN TOWER 1,1ha, số 2 Mai Mắc Đế, phường Quán Bàu, Thành phố Vinh, tỉnh Nghệ An như sau: 1/ Vị trí Tọa lạc 3 mặt tiền đường Mai Hắc Đế (quy hoạch rộng 45m), đường Phan Bội Châu (quy hoạch rộng 40m) và đường nội bộ (quy hoạch rộng 12m) Cách Chợ Vinh khoảng 2,7km, cách nhà Ga Vinh khoảng 1km, cách trung tâm hành chính Vinh khoảng 2,5km 2/ Pháp lý đất Tổng diện tích đất bàn giao: 11.233,6m² Đã bàn giao đợt 1 là 9.722,9m². Mục đích sử dụng đất SKC: 3.478,3m², ODT: 1.978m², DGT: 4.266,6m² Nguồn gốc: Thuê đất trả tiền 1 lần Chưa bàn giao đất đợt 2: 1.510,7m². Mục đích sử dụng đất SKC: 758,3m², ODT: 752,4m² => Với mục đích sử dụng đất là đất SKC (tổng diện tích 4.236,6m²) vẫn là của nhà nước chưa chuyển mục đích sang đất ở, trong trường hợp thực hiện dự án nhà ở khi chuyển mục đích sang đất ở theo Luật hiện hành sẽ phải thực hiện đấu giá đối với hiện trạng các khu đất này 3/ Giải phóng mặt bằng: Theo văn bản"
team đã đi khảo sát,,team đã đi khảo sát,1,2023-04-15,2023-04-15,,1ha,,"Huy M - IM 4/15/2023 11:39 AM Edited Bên Thái tuần này đang trong thời gian nghỉ lễ Tết truyền thống của họ, qua đầu tuần sau sẽ gửi bổ sung thêm các thông tin còn thiếu cho các dự án team đã đi khảo sát. Team sẽ gửi Tuấn báo cáo cho dự án 1ha -Bangkok vào ngày 21/4 nhé."
mình lên gia tăng hiệu quả đầu tư vì không tốn thêm bộ máy vận hành,,mình lên gia tăng hiệu quả đầu tư vì không tốn thêm bộ máy vận hành,1,2023-04-26,2023-04-26,https://goo.gl/maps/nSTM1wgMZyyzcAhg9,75ha,,Huy M - IM 4/26/2023 10:10 AM Anh có đề xuất nếu được mình xin thêm 75ha bên cạnh để scale dự án mình lên gia tăng hiệu quả đầu tư vì không tốn thêm bộ máy vận hành. Và sẽ ăn theo được khu Vsip khi họ phát triển Link https://goo.gl/maps/nSTM1wgMZyyzcAhg9 by Unknown User
của mình sẽ thực h,,của mình sẽ thực h,1,2023-04-26,2023-04-26,https://goo.gl/maps/nSTM1wgMZyyzcAhg9,,,"Tuan Tran-CEO 4/26/2023 10:11 AM https://goo.gl/maps/nSTM1wgMZyyzcAhg9 CẦU THÁI ĐỊNH · 7HR3+796, ĐT489, Giao Thiện, Giao Thuỷ, Nam Định, Việt Nam ★★★★★ · Cầu goo.gl Tiến độ triển khai dự án của mình sẽ thực h... by Huy M - IM"
swanbay 456ha hiện dic đã chuyển,,Swanbay 456ha hiện Dic đã chuyển,1,2023-06-03,2023-06-03,,456ha,,"Huy M - IM 6/3/2023 11:32 AM Trước đây team cũng có giá thị trường của 2 khu vào Q.3/2022 nên sẽ cập nhật thêm giá hiện tại để có so sánh giá Giờ thấy chủ đầu tư rao cắt lỗ hạ giá tùm lum hết mà, sao lại khó kiếm thông tin vậy hã Bên dự án Swanbay 456ha hiện Dic đã chuyển ... by Huy M - IM"
swanbay 456ha hiện dic đã chuyển nhượng lại các dự án thành phần cho các chủ đầu tư khác nên có nhiề,,Swanbay 456ha hiện Dic đã chuyển nhượng lại các dự án thành phần cho các chủ đầu tư khác nên có nhiề,1,2023-06-05,2023-06-05,,456ha,,"Huy M - IM 6/5/2023 12:25 PM Bên dự án Swanbay 456ha hiện Dic đã chuyển nhượng lại các dự án thành phần cho các chủ đầu tư khác nên có nhiều dự án con. Bên Aqua cũng khá nhiều phân khu. Team thu thập giá các loại hình nhà phố, shophouse, villa. Ngày mai sẽ gửi tổng hợp so sánh báo cáo Tuấn nhé. ok by Unknown User"
khu nhà ở đại quang minh,,Khu nhà ở Đại Quang Minh,1,2023-06-12,2023-06-12,https://goo.gl/maps/GPVNSt7Q6a73xSKHA,"9.680m2; 034,8m2; 392,4m2; 642,4m2; 9.902m2; 66,2m2; 180m2; 62m2","135 tỷ; 37,1tr/m2; 185,75tỷ; 4,7tr/m2; 184,76 tỷ; 34tr/m2; 30tr/m2; 31,5tr/m2; 37,5tỷ; 37,1 tỷ; 72,850tỷ; 20tr/m2","Thao L - INVT 6/12/2023 1:50 PM K.ĐT báo cáo anh Tuan Tran-CEO về dự án Khu nhà ở Đại Quang Minh, Thuận Giao, Bình Dương - Dự án thấp tầng nằm cùng khu với Dự án cao tầng Việt An; Nguồn Mr. Duy - P.PTQĐ như sau: 1/ THÔNG TIN DỰ ÁN: - Giá chào: 135 tỷ cho phần còn lại của dự án - 55 nền đất chưa xây dựng nhà ở, hạ tầng hoàn thiện. - Diện tích đất dự án: 9.680m2 trong đó có 5.034,8m2 đất ở tương ứng 75 căn, đối tác đã bán 20 căn có tổng diện tích đất là 1.392,4m2 => Phần diện tích đất ở thương phẩm còn lại là 3.642,4m2 với giá chào 135 tỷ ~ 37,1tr/m2 đất ở. - Vị trí: Tiếp giáp đường D4 (vào bằng đường Thuận Giao 09), Thuận Giao, Thuận An, Bình Dương. - Link map: https://goo.gl/maps/GPVNSt7Q6a73xSKHA - Hiện trạng: HTKT đã hoàn thành, 08/20 căn đã bán xây dựng xong phần thô, phần 12 căn còn lại chưa xây dựng. - Quy mô: Dự án thấp tầng xây dựng nhà ở 03 tầng. 2/ PHÁP LÝ: a/ Pháp lý đất: - Các lô đất đã có sổ hồng riêng đất ở có thời hạn đến 2069 đứng tên CĐT, sau khi hoàn thành xây dựng nhà"
kcn thái hòa liễn sơn liên hòa khu vực 1 284 ha thuộc địa phận các xã,,KCN Thái Hòa – Liễn Sơn – Liên Hòa - Khu vực 1 (284 ha) thuộc địa phận các xã,1,2023-06-16,2023-06-16,,284 ha,,Sinh Nguyen-Dau Tu 6/16/2023 8:48 PM K.ĐT báo cáo anh Tuan Tran-CEO dự án KCN Thái Hòa – Liễn Sơn – Liên Hòa - Khu vực 1 (284 ha) thuộc địa phận các xã
khu đô thị mới bắc quán hành quán hành nghi lộc nghệ an,,Khu Đô Thị Mới Bắc Quán Hành - Quán Hành - Nghi Lộc - Nghệ An,1,2023-06-22,2023-06-22,https://goo.gl/maps/FmDxfXdHa9mdoGK99,"18,43ha; 2,9ha; 2,2ha; 1,5ha; 1,1ha; 0,6ha","994,9 tỷ; 952,7 tỷ; 42,19 tỷ","Thao L - INVT 6/22/2023 11:59 AM Edited K.ĐT gửi anh Tuan Tran-CEO thông tin về dự án Khu Đô Thị Mới Bắc Quán Hành - Quán Hành - Nghi Lộc - Nghệ An như sau: THÔNG TIN VỀ DỰ ÁN KHU ĐÔ THỊ MỚI BẮC QUÁN HÀNH – QUÁN HÀNH – NGHI LỘC 1/ Vị trí: https://goo.gl/maps/FmDxfXdHa9mdoGK99 - Theo thống kê năm 2019, thị trấn Quán Hành có diện tích 3,9 km², dân số là 6.197 người, mật độ dân số đạt 1.589 người/km². - Dự án Khu đô thị Bắc Quán Hành các Trung tâm Thành phố Vinh khoảng 14Km, cách Cảng hàng không Quốc Tế Vinh 11Km, cách biển Cử Lò khoảng 11Km. 2/ Thông tin dự án: Tên dự án: Khu đô thị mới Bắc Quán Hành. Địa điểm: Thị trấn Quán Hành, huyện Nghi Lộc, tỉnh Nghệ An. Hình thức lựa chọn nhà đầu tư: Đấu thầu dự án đầu tư có sử dụng đất. Dân số: 1.900 người. Diện tích: 18,43ha, trong đó: .180 căn nhà ở liền kề cao 3 tầng và 1 tum ~ 2,9ha chiếm 15,7%. . 144 căn nhà ở liền kề thương mại cao 3 tầng và 1 tum ~ 2,2ha chiếm 11,9%, . 55 căn nhà ở biệt thự cao 3 tầng và 1 tum ~ 1,5ha chiếm 8,1%. . Nhà ở x"
trong khu công nghiệp tỉnh vĩnh phúc,,trong Khu Công Nghiệp tỉnh Vĩnh Phúc,1,2023-06-23,2023-06-23,,"5ha; 11,3ha; 14,8ha",,"Tuan Tran-CEO 6/23/2023 9:51 AM Chuyển nhượng 3 lô đất trong Khu Công Nghiệp tỉnh Vĩnh Phúc: 5ha, 11,3ha và 14,8ha Pháp lý ngon lành, hạ tầng đang thi công Giá siêu rẻ chỉ 85usd/m2 Lh 0966566546 Check xem vị trí ở đâu nha mng by Unknown User"
văn phòng tại khu đất 197 lê văn sỹ cập nhật hệ số sử dụng đất mới 9,,Văn phòng tại khu đất 197 Lê Văn Sỹ cập nhật Hệ số sử dụng đất mới 9,1,2023-07-03,2023-07-03,https://goo.gl/maps/BgnUiLh44bo3Nyq37,"985,7m2",340 tỷ; 189 tỷ; 133tỷ,"Thao L - INVT 7/3/2023 10:43 AM Edited K.ĐT báo cáo anh Tuan Tran-CEO dự án Văn phòng tại khu đất 197 Lê Văn Sỹ cập nhật Hệ số sử dụng đất mới 9,5 lần như sau: CẬP NHẬT HỆ SỐ SỬ DỤNG ĐẤT MỚI 9,5 LẦN 1/ SƠ BỘ THÔNG TIN DỰ ÁN: - Dự án Văn phòng tại khu đất 197 Lê Văn Sỹ, phường 13, quận 3. Khu đất Nằm trên đường Lê Văn Sỹ và hẻm 195 Lê Văn Sỹ, cách cầu Lê Văn Sỹ khoảng 50m có tổng diện tích 985,7m2 với giá chào bán là 340 tỷ. - Link vị trí: https://goo.gl/maps/BgnUiLh44bo3Nyq37 - Đề xuất pháp lý: Mục tiêu: Xây dựng, vận hành Văn phòng mà vẫn giữ được mục đích Đất ở lâu dài. Cách thức để giữ lại mục đích Đất ở lâu dài: - Đại diện một cá nhân đứng tên giấy chứng nhận QSDĐ khu đất. Công ty ký hợp đồng thuê đất với Cá nhân (Hợp đồng thuê thời hạn là 20 năm, sau đó gia hạn dần trong 52 năm – 2 năm xây dựng và 50 năm vận hành) để xây dựng tòa nhà văn phòng. - Trong đó, về mặt pháp lý tiến hành xây dựng một căn hộ ở cho chủ đất sử dụng và không kinh doanh/bán căn hộ này. - Tuy nhiên, về mặt vận"
khu đô thị mới bắc quán hành tại thị trấn quán hành,,Khu đô thị mới Bắc Quán Hành tại thị trấn Quán Hành,1,2023-07-03,2023-07-03,https://goo.gl/maps/FmDxfXdHa9mdoGK99,"18,43ha; 2,9ha; 2,2ha; 1,5ha; 1,1ha; 0,6ha; 163m2; 153m2; 275m2","994,9 tỷ; 952,7 tỷ; 42,19 tỷ; 1,5tr/m2; 3tr/m2; 292.855tỷ; 435,8tỷ; 350,2tỷ","Thao L - INVT 7/3/2023 1:37 PM K.ĐT báo cáo anh Tuan Tran-CEO về dự án Khu đô thị mới Bắc Quán Hành tại thị trấn Quán Hành, huyện Nghi Lộc, tỉnh Nghệ An: 1/ VỊ TRÍ VÀ KẾT NỐI: - Địa điểm: Thị trấn Quán Hành, huyện Nghi Lộc, tỉnh Nghệ An. - Link map: https://goo.gl/maps/FmDxfXdHa9mdoGK99 - Kết nối giao thông: Dự án Khu đô thị Bắc Quán Hành cách: . Trung tâm Thành phố Vinh khoảng 14Km . Cảng hàng không Quốc Tế Vinh 11Km. . Biển Cửa Lò khoảng 11Km. . Nút giao cao tốc Diễn Châu - Bãi Vọt khoảng 11Km với thời gian dự kiến hoàn thành vào tháng 05/2024, đồng thời tuyến Cao tốc Quốc lộ 45 – Diễn Châu sẽ hoàn thành trong năm 2023 => Tạo tuyến Cao tốc thông thẳng từ Hà Nội đến Nghệ An. - Thông tin về khu vực: . Theo thống kê năm 2019, thị trấn Quán Hành có diện tích 3,9 km², dân số là 6.197 người, mật độ dân số đạt 1.589 người/km². . Theo thông tin quy hoạch hiện có, trong vòng bán kính 10-15km tính từ dự án, không có dự án Khu công nghiệp mới trong tương lai để triển khai và phát triển để thu h"
31 ha,,31 ha,1,2023-07-07,2023-07-07,,31 ha; 465 ha,,"Huy M - IM 7/7/2023 11:21 AM Bên Mr. Ka có gửi KĐT nghiên cứu đánh giá về việc nhận chuyển nhượng Dự án 31 ha, là dự án thành phần trong tổng dự án 465 ha thuộc khu Du lịch Đô thị Đại Phước (Swan Bay) à à by Unknown User"
thuộc trường hợp giao đất không thông qua đấu giá quyền sử dụng đất hồ sơ pháp lý,,thuộc trường hợp giao đất không thông qua đấu giá quyền sử dụng đất - Hồ sơ pháp lý,1,2023-08-07,2023-08-07,https://goo.gl/maps/XXMLm2Ebm5FEFwig7,2.3ha; 22.335m²; 22.385m²; 12.331m²; 2.3 ha,200 tỷ; 240 tỷ; 170 tỷ,"Sinh Nguyen-Dau Tu 8/7/2023 4:30 PM Edited K.ĐT báo cáo anh Tuan Tran-CEO dự án 2.3ha KDC Thuận Hưng Bình Điền (với giá chào 200 tỷ), mặt tiền đường Nguyễn Văn Linh, xã An Phú Tây, huyện Bình Chánh, TP.HCM như sau: 1/ Vị trí Cách Chợ Đầu Mối Bình Điền khoảng 400m Cách ranh Quận 8 và huyện Bình Chánh khoảng 150m Cách UBND huyện Bình Chánh khoảng 3,2km Cách nút giao Vành Đai 2 - Nguyễn Văn Linh khoảng 2,2km 2/ Hiện trạng: Toàn bộ khu đất đã có hoàn tất bồi thường giải phóng mặt bằng và bàn giao đất cho Cty Thuận Hưng. 3/ Pháp lý đất: Tổng diện tích 22.335m² - Nguồn gốc đất: do BQL Khu Nam GPMB bằng vốn ngân sách và giao lại cho Công ty Thuận Hưng (là một trong hai khu đất hoán đổi Khu đất của Công ty Thuận Hưng đã bị thu hồi làm Chợ Bình Điền) - Dự án thuộc trường hợp giao đất không thông qua đấu giá quyền sử dụng đất - Hồ sơ pháp lý: hiện Khu đất được Công ty Thuận Hưng quản lý – sử dụng thông qua Biên bản tạm giao ngày 19/10/2012 giữa Ban Bồi thường Huyện Bình Chánh – Ban Quản lý Khu N"
ideo chanran 70 riverview nằm trên đường charan sanit wong,,IDEO CHANRAN 70 RIVERVIEW nằm trên đường Charan Sanit Wong,1,2023-08-17,2023-08-17,https://goo.gl/maps/rzwM8zz1vmEphauk6,"27m2; 35m2; 52m2; 26,5m2; 51,4m2","62tr/m2; 57,5tr/m2; 63tr/m2; 68,5tr/m2; 68tr/m2; 64tr/m2; 71tr/m2; 70tr/m2; 1,6 tỷ; 3,6 tỷ","Thao L - INVT 8/17/2023 2:14 PM K.ĐT báo cáo anh Tuan Tran-CEO về dự án IDEO CHANRAN 70 RIVERVIEW nằm trên đường Charan Sanit Wong, Khwaeng Bang Phlat, Bang Phlat, Bangkok. I/ THÔNG TIN DỰ ÁN 1. Tên dự án: IDEO CHANRAN 70 RIVERVIEW 2. Vị trí : Link map: https://goo.gl/maps/rzwM8zz1vmEphauk6 Dự án có vị trí: - Nằm trên đường Charan Sanit Wong, Khwaeng Bang Phlat, Bang Phlat, Bangkok. - Gần sông Chao Phraya. - Cách Cách trung tâm Bangkok khoảng 6-7Km. 3. Kết nối giao thông: Cách ga Bang Phlat MRT 300m. Cách ga Bang Sue Grand 4 trạm. Cách Chatuchak – nơi kết nối các phương tiện công cộng khác 6 trạm. Cách bến tàu Wat Awut Wikasitaram 390m. 4.Tiện ích: Cách Tesco Lotus Bang Phlat 140m. Kề Khu phức hợp Supreme - Major Pinklao - Central Pinklao. Cách IconSiam 7Km. 5. Tổng quan dự án: Dự án cao 38 tầng gồm nhiều tiện ích cao cấp và 1.421 căn hộ ở. Thời hạn: Lâu dài. Hiện trạng: Đã xây dựng hoàn thành vào cuối Q4/2022. Chính sách: - Chỉ được bán 45% căn hộ cho người nước ngoài. - Căn hộ bán ch"
khu du lịch sinh thái biển cao cấp lạc việt,,KHU DU LỊCH SINH THÁI BIỂN CAO CẤP LẠC VIỆT,1,2023-09-06,2023-09-06,https://goo.gl/maps/JhPoRTM15vQA7Kk6A,"72ha; 73,9ha; 39ha; 11,3ha; 1,6ha; 0,4ha; 2,5ha; 18,3ha; 1ha",1.500 tỷ,"Thao L - INVT 9/6/2023 3:05 PM Edited K.ĐT báo cáo anh Tuan Tran-CEO về dự án KHU DU LỊCH SINH THÁI BIỂN CAO CẤP LẠC VIỆT như sau: I/ THÔNG TIN DỰ ÁN 1. Vị trí: Xã Thắng Hải, huyện Hàm Tân, tỉnh Bình Thuận. 2. Link map: https://goo.gl/maps/JhPoRTM15vQA7Kk6A 3. Diện tích: 72ha. II/ PHÁP LÝ DỰ ÁN 1. Pháp lý đất: Chưa có hồ sơ. 2. Pháp lý đầu tư: - 11/05/2007: GCN đăng ký doanh nghiệp số 0304993374: CTCPTM&DV Danh Việt. - 07/09/2018: Quyết định chủ trương đầu tư số 2313/QĐ-UBND: + Mục tiêu: Kinh doanh dịch vụ du lịch nghỉ dưỡng; kinh doanh biệt thự nghỉ dưỡng và căn hộ du lịch biển gắn với QSDĐ lâu dài + Quy mô: Khu nghỉ dưỡng, biệt thự, căn hộ, nhà vườn, khu khách sạn 4-5 sao ven sông, khu giải trí, ttms, nhà hàng,… + Thời gian hoạt động: . Đầu tư kinh doanh khu du lịch nghỉ dưỡng, khách sạn giải trí => Thời hạn còn lại: 35 năm. . Đầu tư xây dựng biệt thự, căn hộ du lịch biển gắn với QSDĐ lâu dài=> Những sản phẩm này chỉ được sở hữu 50 năm theo quy định hiện nay (từ 2008). + Tiến độ thực"
do mình có điều chỉnh qh 1 500,,do mình có điều chỉnh qh 1/500,1,2023-09-25,2023-09-25,,,50 tr/m2,"Binh Vo-GD-PTDT 9/25/2023 9:57 AM Với phương án của mình trước là làm phân khúc trung cao cho notm, giá cũng trên 50 tr/m2 và thời điểm ra hàng cho notm a nghĩ cũng nên vào năm 2025, cũng sẽ phù hợp vs tiến độ thực hiện pháp lý hiện trạng của dự án do mình có điều chỉnh qh 1/500, rồi tính tssđ lại... Ok a by Unknown User"
hạ tầng trọng điểm quốc gia đang được triển khai như đường dt 770b lg 60m khởi công xây dựng quý i,,hạ tầng trọng điểm quốc gia đang được triển khai như Đường DT 770B (LG 60m) khởi công xây dựng Quý I,1,2023-11-27,2023-11-27,https://maps.app.goo.gl/9PHZkvYiuadCm992A,2.627ha; 1.333ha; 1.000ha,,"Sinh Nguyen-Dau Tu 11/27/2023 3:24 PM KĐT gửi anh Tuan Tran-CEO về báo cáo Nghiên cứu Quỹ đất thuộc xã Tân Hiệp, huyện Long Thành, tỉnh Đồng Nai: 1/ Hạ tầng giao thông 1.1/ Hạ tầng trọng điểm Đồng Nai: ● Giao thông: Cao tốc Bến Lức – Long Thành, cao tốc Biên Hòa – Vũng Tàu, cao tốc Long Thành – Dầu Giây; Đường Vành Đai 3, đường Vành Đai 4; Đường Quốc lộ 51, đường DT770B, đường Nguyễn Ái Quốc (Đường 25C),… ● Sân bay quốc tế Long Thành ● Cảng quốc tế Cái Mép – Thị Vãi ● Đường sắt Biên Hòa – Vũng Tàu, Thủ Thiêm – Long Thành,… 1.2/ Hạ tầng khu vực nghiên cứu ● Cách nút giao cao tốc Bến Lức – Long Thành, cao tốc Biên Hòa - Vũng Tàu và Quốc lộ 51C khoảng 9km (đi theo tuyến đường Quốc lộ 51C vào nút giao) ● Cách nút giao cao tốc Biên Hòa – Vũng Tàu và đường Nguyễn Ái Quốc (Đường 25C) khoảng 16km ● Tiếp giáp tuyến đường DT770B (QH dự kiến 60m), dự kiến khởi công Quý I/2024, kết nối 4 huyện (Định Quán, Thống Nhất, Cẩm Mỹ và Long Thành) và 1 Thành phố (Long Khánh) 2/ Phân tích Swot a/ Điểm mạnh:"
